RandF,CAWPE,AdaBoost,XGBoost,LogitBoost,Bagging
7126.331582 ,5115.286122,133.540839,1078.676047,2858.74322,257.142681
6151.498879 ,4584.945194,141.599994,1077.434814,3242.937948,249.481477
6665.240141 ,4734.077613,128.356459,1217.354055,3219.75991,263.538398
5751.262493 ,4624.180767,124.731397,1227.970975,2748.68801,263.793576
6799.768882 ,4480.944408,139.019147,1120.870175,3756.619419,264.579049
6666.686125 ,4806.585076,222.032451,1071.802575,3682.879929,258.218981
3445.822352 ,3351.904045,66.859728,859.386635,1365.532836,137.044137
3198.317237 ,3152.61904,74.546776,850.018749,1627.797775,140.795717
3388.948433 ,3548.636628,62.089436,835.998007,1688.992991,132.600301
3209.66735 ,3047.953115,83.15448,887.074595,1636.310255,135.385519
3383.178005 ,3413.911288,66.283711,882.335918,1673.334231,138.793106
4278.669376 ,3315.163008,65.685161,871.051691,1655.729386,140.856804
3214.506146 ,3687.108179,99.726173,880.910365,1632.558645,133.565918
3914.953135 ,4077.837219,112.741275,904.716881,1634.296457,147.622624
4301.604776 ,4074.554146,63.003622,878.155806,1671.328683,137.637876
4117.435747 ,4204.882802,69.47161,839.405729,1687.21453,158.500673
4253.73343 ,4238.827008,91.072341,858.919495,1811.726216,178.994277
3925.052199 ,3423.75559,68.120504,845.677236,1712.612141,172.327383
3121.717817 ,4265.966615,67.287149,837.667857,1788.850495,222.637821
4359.954598 ,3609.369269,64.354948,850.649727,1748.514648,203.783828
4794.262454 ,4211.00624,88.490269,844.524018,1741.179073,179.376898
3795.576133 ,3636.024043,57.608344,891.08282,1755.409741,185.72455
4640.677689 ,4053.75576,83.696509,864.103856,1804.803811,189.625711
4459.826457 ,4126.110538,69.555235,877.18569,1784.451529,181.207581
4920.177026 ,3465.145289,106.511873,860.920438,1801.912968,137.372824
4970.498299 ,3254.630828,63.031697,844.403333,1755.119977,150.70681
4190.285555 ,3067.188968,72.368573,886.63769,1819.379613,137.468515
4769.527443 ,3450.473891,53.281927,1019.902155,1797.952799,120.711615
4239.446918 ,3307.121638,99.165847,890.552048,1833.227377,132.875143
