TRAINTESTDIFFSAUROC:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_pb,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq
monks-1,-0.021753532425858403,-0.02180528958128516,-0.02195193485499428,-0.02205544916584774,-0.02224695064092673,-0.022369442575436698,-0.022550592619430303,-0.0230302089263848,-0.02356675810430869,-0.02417921777685848,-0.024748546486552593,5.572520400945099E-4,-0.025840622466056833,-0.026899918913790746,-0.028142090644032444,-0.02924796853165044,-0.029444645722271855
monks-2,-0.010961561469175828,-0.0110994956049415,-0.011087158278031261,-0.011253060893295638,-0.011365689819191524,-0.011856162863999013,-0.011920131115833784,-0.012123784126149905,-0.012237599493033095,-0.012257113543398286,-0.012532110651966907,-0.005173687493435515,-0.01291101676001403,-0.013611888105506143,-0.01430544168211132,-0.015394411979104876,-0.016477317322519846
monks-3,-0.004932470064049595,-0.005064745196324731,-0.005146546922863301,-0.005311890838207204,-0.005416318574213882,-0.005637357282094683,-0.005846212754108089,-0.006011556669451975,-0.006185602896129746,-0.00648496240601556,-0.0067373294346983695,-0.004991645781119484,-0.0071515594541915325,-0.007694583681426218,-0.008376844890003177,-0.009062587023113734,-0.00994500139237016
mushroom,4.0456688040387453E-8,2.4274012825712767E-8,-6.473070086980096E-8,-1.6182675217265203E-7,-5.744849701949661E-7,-1.3836187310175182E-6,-1.6182675216599071E-6,-1.861007649913334E-6,-2.904790201363472E-6,-3.2850830689564367E-6,-3.4792751715547372E-6,5.711837044334644E-4,-3.7948373382704998E-6,-3.9809381032688645E-6,-4.207495556300215E-6,-4.628245111926166E-6,-5.372648171904822E-6
musk-1,-0.008106372612361568,-0.008264050670223162,-0.008258893277368366,-0.00837199434190156,-0.008468394687420418,-0.008450016121367568,-0.008640974173746697,-0.008713469413367462,-0.00875763838402051,-0.008787153285655406,-0.008778968405833542,-0.01144588786766196,-0.008835745827606349,-0.008890272244012731,-0.00907480548740216,-0.00953331047580623,-0.009794022860003108
musk-2,-0.0017873888400567917,-0.0017961484320831742,-0.0018014897697111324,-0.001809163596103373,-0.0018221834007318396,-0.0018310203960802223,-0.0018422164572237517,-0.0018516329720100458,-0.001865590153796659,-0.001877630992453335,-0.0018923838392348495,-0.0018969189490817939,-0.0019063219470013806,-0.001920596196232564,-0.0019361992274568955,-0.0019520465105016852,-0.001967152341000755
nursery,-2.8943501804196137E-4,-2.941902410640592E-4,-3.0089744915304435E-4,-3.086312786587516E-4,-3.1848047255368385E-4,-3.3017728340719216E-4,-3.426013351562081E-4,-3.583933273915707E-4,-3.7562808916522525E-4,-3.94254678971991E-4,-4.146302182685302E-4,1.8708560611767252E-4,-4.3756668028111325E-4,-4.630348224125225E-4,-4.91136775980916E-4,-5.202755399073962E-4,-5.508184630142021E-4
oocytes_merluccius_nucleus_4d,-0.0013225091306650727,-0.001339501389250312,-0.0014397420815273805,-0.0015990181637840237,-0.0017372968154822145,-0.0019075123858051767,-0.0021210355726269873,-0.002360962320960717,-0.0025399712786127035,-0.00273867030594237,-0.003050003927199152,-0.001870719225061875,-0.003510363307695367,-0.003863213571036158,-0.004253246099794628,-0.00472279904153072,-0.005176811195810042
oocytes_merluccius_states_2f,-0.0028646839031277183,-0.0028855750657561002,-0.002909780683876373,-0.0029306853767053333,-0.002972717608304957,-0.0029952699523539184,-0.003006501030580318,-0.0030471767733978973,-0.0030691577917422424,-0.003094906010356128,-0.003125988177514964,-0.0027571567572473293,-0.0031470365961725516,-0.0031694681762048887,-0.003201981816312734,-0.003247376168586387,-0.0032783171941149474
oocytes_trisopterus_nucleus_2f,-0.010242468507348905,-0.010242037238355666,-0.010239820571698937,-0.010191125420657391,-0.0102455386948322,-0.010293110121186203,-0.010216752189140147,-0.01035169118886171,-0.010454226868955118,-0.010544566062920016,-0.010755653734390368,-0.010142378032275837,-0.010883813384537462,-0.011106229718228389,-0.011331731164356974,-0.011622200625810904,-0.011950304292454313
