PB-A,CAWPE-A
-0.04298083133260422 ,-0.020053036045994954
0.002930993463061915 ,-0.012303940388371681
0.0380130980751755 ,0.02438195661617404
0.0030768741873559158 ,-0.022334775875039847
-0.044933761266881644 ,-0.02293220140303276
-0.018911250307063976 ,-0.010588575112635223
-0.005345113616039621 ,-0.007353169651287628
0.04270626165262925 ,0.01672317253381239
-0.07917841916767954 ,-0.04236026593814657
-0.02233441521439139 ,-0.05709729776174455
8.850500875728917E-4 ,-0.02570272082168612
0.038635421621002086 ,0.04275257000417565
-0.05070301583871595 ,-0.04137448106514341
-0.008449153770845652 ,-0.008006403582740407
0.04109735175567042 ,0.0461271796181586
0.0019746625968313225 ,0.007778758600178959
0.06019767854157132 ,0.03296274819980016
0.01762752443158422 ,0.024746756852254692
-0.030160787249324472 ,0.012466814897730383
-0.006736225474759383 ,-2.0441723346231733E-4
-0.03815768948912013 ,-0.024695814968034968
-0.06356345367180005 ,-0.05753608196304405
-0.013686893270378864 ,-0.014076500851026519
0.0024259397946493344 ,-0.0313912414244496
0.004671644943297415 ,0.022661073144613075
-0.036295643258066335 ,-0.015511191891620646
0.04512239335412582 ,0.031635123390651665
0.06182667513972784 ,0.008397779225704505
-0.002758512501234156 ,0.00240544580934543
-3.2806326017253973E-4 ,-8.926269356219763E-4
-0.0015442251785255934 ,-9.510918458793816E-4
-8.338940613062951E-4 ,-0.0012132077996103163
-3.9835670504351217E-4 ,-0.0010803160455049587
3.407209026495828E-5 ,0.002081488819061339
-0.001312791742491104 ,-7.350201278252255E-4
-0.004813255446516229 ,-0.0022530114145462576
-0.0013307066567108672 ,-1.3892278746774345E-4
6.308474747007686E-5 ,-1.3848714372499682E-4
-9.268851661947686E-4 ,-5.432585852838123E-4
0.00622713800267638 ,0.0011024707564908365
5.769071171602969E-4 ,3.169383641425938E-4
-4.807368091879205E-4 ,1.464235916182055E-4
-8.989987564486102E-4 ,-0.0012510618757703984
-1.3760232365178648E-4 ,-6.295295446612226E-4
2.2522357059573395E-4 ,-8.646600489498057E-4
5.957072854577694E-4 ,3.426650808524556E-4
-4.644763047965128E-4 ,-9.566425327702799E-4
0.002045434891149167 ,3.339682986812642E-4
-3.4877130703825365E-5 ,-8.547992681783301E-4
-3.891695497215686E-5 ,-9.243906923895873E-4
