TRAINACCSTDDEVS:,CAWPE_alpha=15,CAWPE_alpha=14,CAWPE_alpha=13,CAWPE_alpha=12,CAWPE_alpha=11,CAWPE_alpha=10,CAWPE_alpha=9,CAWPE_alpha=8,CAWPE_alpha=7,CAWPE_alpha=6,CAWPE_alpha=5,CAWPE_alpha=4,CAWPE_alpha=3,CAWPE_alpha=2,CAWPE_alpha=1,CAWPE_eq,CAWPE_pb
monks-1,0.043314916731692216,0.043110476562529906,0.0429618741217126,0.04289518179134052,0.04269865976115013,0.04298523524112131,0.04398867719267086,0.04408746168085871,0.04486327917161394,0.045792987111001666,0.0469571485840604,0.04918476738627897,0.049566258765261675,0.049834236180909555,0.04457643246721281,0.04314220410083263,0.020618500583171395
monks-2,0.02280602864438997,0.022755292144069295,0.02388804239790458,0.025172711207326445,0.026431192146081705,0.026096392688770974,0.026733871255133993,0.026677440352379945,0.02735323077291741,0.027050872087886514,0.026636956629708594,0.025884358211089573,0.02470489943703729,0.025546641790435747,0.02459999273172701,0.026376776813035744,0.002263035179747867
monks-3,0.010528741534037449,0.010540117811298808,0.010411418017698687,0.010840002868449763,0.0111667460682507,0.01145873207113015,0.011523263112642406,0.011521312936940186,0.010961623034592865,0.010854503627248881,0.010631394324551067,0.011546639529774236,0.01174537375205151,0.01300203666327365,0.014244069275313185,0.015493859867555512,0.023119535980934774
mushroom,2.3024636525501165E-4,2.9579802797808936E-4,4.388822557562108E-4,0.0011632412363453799,0.0012176629159310532,0.0012152863714620223,0.001317810256766192,0.0016418500548726971,0.0017690678807790045,0.0018958696387964744,0.001980777222292571,0.002132262287577747,0.0022060469207216757,0.002286082394200342,0.0024481642969512597,0.002556527586692221,0.0055405988128333855
musk-1,0.0210674412773671,0.021150327983961475,0.020325883483820105,0.021006644665292323,0.020744421978961484,0.02010927840365545,0.021006644665292337,0.02048233903278498,0.0208820707271976,0.020685149258224393,0.020035364786627517,0.020181907400147046,0.01964601110580047,0.018939591087466297,0.018978448213806946,0.01694056844985987,0.02392895006556524
musk-2,0.0018977522518623007,0.0019478752526312564,0.0019226473112980487,0.0018205909028753112,0.0018659965718651088,0.0018822081013923169,0.0019363668905820728,0.0020221937304102065,0.0020275431479691306,0.002086190603727267,0.002137654861755262,0.0020741250635522824,0.0021022372957184895,0.002042162389875463,0.0020725959988163512,0.0021104902980030133,0.004148059060064899
nursery,0.0018188081783091785,0.0018371596829381293,0.0017520153142441715,0.0016351564089890987,0.0018010145151718024,0.0018176037591829577,0.0018915512553011008,0.0019040638692713722,0.0019497010334764045,0.001999551078545372,0.001983220869948535,0.0020471722291006723,0.001922092740389167,0.0018848826244419004,0.002035021697009643,0.0022249662295481093,0.003292174141027905
oocytes_merluccius_nucleus_4d,0.013474310714613105,0.01335323787058309,0.012960251204829977,0.012436673122669722,0.011746661844306328,0.012538591565357832,0.012503297368326663,0.01271706839603207,0.0125957337085303,0.013669676272914615,0.01351557173300968,0.01300110423490121,0.012214560601273655,0.012163622191127734,0.011916977159307894,0.012333912529177782,0.014983702834411533
oocytes_merluccius_states_2f,0.008468686920898066,0.008587867890048333,0.00829869240130957,0.008497598818497615,0.008525894373170107,0.009013432345137119,0.009111204559842248,0.009114841525415814,0.009148958331618703,0.009353171984759656,0.009401476233688104,0.009210338000872668,0.009535658146584258,0.009688297221418792,0.009811806610515662,0.009972629997426324,0.00973925030051367
oocytes_trisopterus_nucleus_2f,0.015208578012744481,0.014745941205992517,0.015094248222086059,0.015131720310286088,0.015016805378273297,0.01529321992514037,0.016283319665415665,0.016339142907568598,0.017126364073052517,0.01686617435368108,0.016891338311331393,0.01613483254178093,0.016665493742447832,0.017369718898081834,0.017496950288176567,0.018843849367728795,0.013896925785533422
oocytes_trisopterus_states_5b,0.008496055801812454,0.008277594608178873,0.008192645551025982,0.008099612056826496,0.008156989010627218,0.008204834979152127,0.0083177416124767,0.008177383214499635,0.008296019435339575,0.007912368597045038,0.007590038145898659,0.00782345482781734,0.007379744810481788,0.007635256415160981,0.00778503806745873,0.00804907171689604,0.009925553656046762
optical,0.001786324123617207,0.0017012833016934407,0.0016944194548478915,0.0016769197857509767,0.001620190300248875,0.0015929887539836579,0.0015559804793277233,0.0015314455932790212,0.0014473820343268624,0.001524008107298375,0.0015479551905719995,0.0015373317737253456,0.0015792584093064566,0.0015106151436135838,0.0015409755861592904,0.001465137691319228,0.0023330343214738457
ozone,0.002045066157560545,0.0020871725841524616,0.002082364215715125,0.0020694296157476354,0.0020720229952886386,0.0020111735381026547,0.002025364389983271,0.001983750827083665,0.00209077160347508,0.0020685644333795616,0.002090086553783205,0.0021488690325015053,0.0021354990533821346,0.002130799741376275,0.0021247424967552214,0.0021732219472167555,0.004326381943404928
page-blocks,0.002790321269793221,0.0027301983757368705,0.0027886686925942487,0.0027823799476268357,0.0027585023674853884,0.002775744823742881,0.002763761459131122,0.0027661789502499666,0.0027417680166694257,0.0027451286455176614,0.0027829045524950195,0.002723210426973118,0.002747450675595225,0.002757415909665984,0.0027074783536286395,0.00274535254117249,0.0034453192928561604
parkinsons,0.027788271575117072,0.02856862742659133,0.029024668340251178,0.02966781976735665,0.030711810234527365,0.030582261802456344,0.030279171493577298,0.03151281509549415,0.031028394405702164,0.031097217571103345,0.03100476272336631,0.035023304738950205,0.034637496503144696,0.03430970904047539,0.03306403815708279,0.034890507854832546,0.028437907296416903
pendigits,0.001050140862423257,0.0010565601524522238,0.001085459724921955,0.001092020250713632,0.0010141744302405904,0.0010017973444275926,0.0010423489877561412,9.979684051332385E-4,0.0010183165742213938,0.0010716851936377213,0.0010929268679314194,0.0011092566368219859,0.0011337302892519348,0.0011139857946580085,0.0011191035168976401,0.0011460121200527118,0.001400991693801486
pima,0.013071620302913887,0.013228410072038286,0.012742168954771201,0.012886943326073557,0.013198913937243659,0.012892688394301913,0.012885431040282279,0.012664545975932206,0.012783395478201679,0.012778821321445167,0.013256370610000337,0.013711905169990228,0.014308350961860167,0.014314070108432634,0.014454695720369014,0.014558135815643561,0.014291179789775394
